NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N,D4C,D4N
"Nível Territorial (Código)","Nível Territorial","Unidade de Medida (Código)","Unidade de Medida","Valor","Unidade da Federação (Código)","Unidade da Federação","Variável (Código)","Variável","Sexo (Código)","Sexo","Ano (Código)","Ano"
"3","Unidade da Federação","1622","Anos","71.3","11","Rondônia","2503","Esperança de vida ao nascer","6794","Total","2016","2016"
"3","Unidade da Federação","1622","Anos","68.3","11","Rondônia","2503","Esperança de vida ao nascer","4","Homens","2016","2016"
"3","Unidade da Federação","1622","Anos","75.0","11","Rondônia","2503","Esperança de vida ao nascer","5","Mulheres","2016","2016"
"3","Unidade da Federação","1622","Anos","73.9","12","Acre","2503","Esperança de vida ao nascer","6794","Total","2016","2016"
"3","Unidade da Federação","1622","Anos","70.7","12","Acre","2503","Esperança de vida ao nascer","4","Homens","2016","2016"
"3","Unidade da Federação","1622","Anos","77.5","12","Acre","2503","Esperança de vida ao nascer","5","Mulheres","2016","2016"
"3","Unidade da Federação","1622","Anos","71.9","13","Amazonas","2503","Esperança de vida ao nascer","6794","Total","2016","2016"
"3","Unidade da Federação","1622","Anos","68.6","13","Amazonas","2503","Esperança de vida ao nascer","4","Homens","2016","2016"
"3","Unidade da Federação","1622","Anos","75.5","13","Amazonas","2503","Esperança de vida ao nascer","5","Mulheres","2016","2016"
"3","Unidade da Federação","1622","Anos","71.5","14","Roraima","2503","Esperança de vida ao nascer","6794","Total","2016","2016"
"3","Unidade da Federação","1622","Anos","69.1","14","Roraima","2503","Esperança de vida ao nascer","4","Homens","2016","2016"
"3","Unidade da Federação","1622","Anos","74.3","14","Roraima","2503","Esperança de vida ao nascer","5","Mulheres","2016","2016"
"3","Unidade da Federação","1622","Anos","72.1","15","Pará","2503","Esperança de vida ao nascer","6794","Total","2016","2016"
"3","Unidade da Federação","1622","Anos","68.4","15","Pará","2503","Esperança de vida ao nascer","4","Homens","2016","2016"
"3","Unidade da Federação","1622","Anos","76.3","15","Pará","2503","Esperança de vida ao nascer","5","Mulheres","2016","2016"
"3","Unidade da Federação","1622","Anos","73.9","16","Amapá","2503","Esperança de vida ao nascer","6794","Total","2016","2016"
"3","Unidade da Federação","1622","Anos","71.3","16","Amapá","2503","Esperança de vida ao nascer","4","Homens","2016","2016"
"3","Unidade da Federação","1622","Anos","76.7","16","Amapá","2503","Esperança de vida ao nascer","5","Mulheres","2016","2016"
"3","Unidade da Federação","1622","Anos","73.4","17","Tocantins","2503","Esperança de vida ao nascer","6794","Total","2016","2016"
"3","Unidade da Federação","1622","Anos","70.5","17","Tocantins","2503","Esperança de vida ao nascer","4","Homens","2016","2016"
"3","Unidade da Federação","1622","Anos","76.7","17","Tocantins","2503","Esperança de vida ao nascer","5","Mulheres","2016","2016"
"3","Unidade da Federação","1622","Anos","70.6","21","Maranhão","2503","Esperança de vida ao nascer","6794","Total","2016","2016"
"3","Unidade da Federação","1622","Anos","66.9","21","Maranhão","2503","Esperança de vida ao nascer","4","Homens","2016","2016"
"3","Unidade da Federação","1622","Anos","74.5","21","Maranhão","2503","Esperança de vida ao nascer","5","Mulheres","2016","2016"
"3","Unidade da Federação","1622","Anos","71.1","22","Piauí","2503","Esperança de vida ao nascer","6794","Total","2016","2016"
"3","Unidade da Federação","1622","Anos","66.9","22","Piauí","2503","Esperança de vida ao nascer","4","Homens","2016","2016"
"3","Unidade da Federação","1622","Anos","75.3","22","Piauí","2503","Esperança de vida ao nascer","5","Mulheres","2016","2016"
"3","Unidade da Federação","1622","Anos","73.8","23","Ceará","2503","Esperança de vida ao nascer","6794","Total","2016","2016"
"3","Unidade da Federação","1622","Anos","69.9","23","Ceará","2503","Esperança de vida ao nascer","4","Homens","2016","2016"
"3","Unidade da Federação","1622","Anos","77.8","23","Ceará","2503","Esperança de vida ao nascer","5","Mulheres","2016","2016"
"3","Unidade da Federação","1622","Anos","75.7","24","Rio Grande do Norte","2503","Esperança de vida ao nascer","6794","Total","2016","2016"
"3","Unidade da Federação","1622","Anos","71.7","24","Rio Grande do Norte","2503","Esperança de vida ao nascer","4","Homens","2016","2016"
"3","Unidade da Federação","1622","Anos","79.8","24","Rio Grande do Norte","2503","Esperança de vida ao nascer","5","Mulheres","2016","2016"
"3","Unidade da Federação","1622","Anos","73.2","25","Paraíba","2503","Esperança de vida ao nascer","6794","Total","2016","2016"
"3","Unidade da Federação","1622","Anos","69.3","25","Paraíba","2503","Esperança de vida ao nascer","4","Homens","2016","2016"
"3","Unidade da Federação","1622","Anos","77.1","25","Paraíba","2503","Esperança de vida ao nascer","5","Mulheres","2016","2016"
"3","Unidade da Federação","1622","Anos","73.9","26","Pernambuco","2503","Esperança de vida ao nascer","6794","Total","2016","2016"
"3","Unidade da Federação","1622","Anos","69.9","26","Pernambuco","2503","Esperança de vida ao nascer","4","Homens","2016","2016"
"3","Unidade da Federação","1622","Anos","77.7","26","Pernambuco","2503","Esperança de vida ao nascer","5","Mulheres","2016","2016"
"3","Unidade da Federação","1622","Anos","71.6","27","Alagoas","2503","Esperança de vida ao nascer","6794","Total","2016","2016"
"3","Unidade da Federação","1622","Anos","66.9","27","Alagoas","2503","Esperança de vida ao nascer","4","Homens","2016","2016"
"3","Unidade da Federação","1622","Anos","76.4","27","Alagoas","2503","Esperança de vida ao nascer","5","Mulheres","2016","2016"
"3","Unidade da Federação","1622","Anos","72.7","28","Sergipe","2503","Esperança de vida ao nascer","6794","Total","2016","2016"
"3","Unidade da Federação","1622","Anos","68.5","28","Sergipe","2503","Esperança de vida ao nascer","4","Homens","2016","2016"
"3","Unidade da Federação","1622","Anos","76.9","28","Sergipe","2503","Esperança de vida ao nascer","5","Mulheres","2016","2016"
"3","Unidade da Federação","1622","Anos","73.5","29","Bahia","2503","Esperança de vida ao nascer","6794","Total","2016","2016"
"3","Unidade da Federação","1622","Anos","69.0","29","Bahia","2503","Esperança de vida ao nascer","4","Homens","2016","2016"
"3","Unidade da Federação","1622","Anos","78.2","29","Bahia","2503","Esperança de vida ao nascer","5","Mulheres","2016","2016"
"3","Unidade da Federação","1622","Anos","77.2","31","Minas Gerais","2503","Esperança de vida ao nascer","6794","Total","2016","2016"
